Policy Number,Age Band,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Premium payment
116082,B,31,1,M,Married,0,515,1
146750,A,0,1,F,Married,12,541,1
101703,C,45,1,F,Married,4,35,0
165002,C,42,1,F,Single,10,93,0
133073,A,5,1,M,Single,14,655,1
199193,B,27,1,M,Single,3,771,1
169904,B,36,1,M,Single,7,555,1
164381,A,2,1,M,Married,12,289,0
101325,A,8,1,F,Married,15,320,0
125818,C,42,1,F,Single,8,380,0
150975,B,17,1,M,Single,10,403,0
136723,C,46,1,M,Single,7,217,0
115009,B,22,1,F,Single,13,275,0
183198,C,46,1,M,Single,1,796,1
118167,C,43,1,M,Single,6,56,0
181893,B,28,1,F,Single,5,713,1
193579,B,10,1,M,Married,12,141,0
134526,C,44,1,M,Single,14,291,0
162909,C,39,1,M,Married,1,203,0
160490,B,22,1,M,Married,4,517,1
100366,B,26,1,F,Married,12,202,0
139754,B,24,1,F,Single,10,428,0
159663,A,6,1,F,Single,11,516,1
153203,C,42,1,F,Married,14,257,0
109485,B,15,1,F,Married,2,376,0
159668,A,6,1,M,Single,12,1070,1
148260,B,28,1,M,Married,13,371,0
180191,A,3,1,F,Single,14,266,0
180237,B,31,1,F,Married,10,312,0
139893,A,4,1,F,Single,15,430,0
155317,B,39,1,M,Single,0,818,1
102276,B,17,1,F,Married,13,320,0
115581,A,0,1,F,Married,13,183,0
156261,A,3,1,F,Single,14,565,1
192333,C,43,1,F,Married,6,110,0
111841,C,44,1,F,Single,4,466,0
174729,C,45,1,M,Single,11,173,0
179628,A,5,1,M,Married,12,361,0
154549,A,3,1,F,Married,1,837,1
181334,B,5,1,F,Married,11,129,0
165949,A,0,1,F,Single,9,485,0
190391,B,9,1,M,Married,2,488,0
115290,A,5,1,M,Married,0,990,1
100313,C,39,1,F,Single,10,166,0
151108,A,2,1,F,Married,11,167,0
149292,B,25,1,M,Married,0,693,1
158875,A,4,1,M,Married,14,513,1
191995,B,27,1,M,Married,5,629,1
129391,B,23,1,M,Single,6,438,0
136475,C,44,1,M,Single,10,244,0
123896,A,6,1,M,Married,6,479,0
187193,B,21,1,M,Married,9,321,0
193212,A,0,1,M,Married,7,328,0
108450,C,42,1,M,Married,10,387,0
169347,A,4,1,M,Married,15,235,0
164942,B,13,1,F,Married,2,396,0
141819,C,47,1,M,Single,14,66,0
111740,C,42,1,M,Single,7,296,0
193972,B,11,1,F,Married,14,159,0
125668,A,0,1,M,Married,12,477,0
161764,B,11,1,F,Single,0,509,1
154044,A,0,1,F,Married,15,352,0
153568,B,34,1,F,Married,2,523,1
188603,B,31,1,M,Married,10,314,0
160890,B,9,1,M,Single,13,201,0
114690,A,0,1,F,Married,15,303,0
117035,A,5,1,F,Single,6,788,1
161490,C,49,1,F,Married,14,100,0
173164,A,0,1,F,Married,15,250,0
143977,B,7,1,F,Married,1,489,0
163639,B,28,1,M,Married,1,562,1
149434,A,1,1,F,Single,12,415,0
149512,A,2,1,F,Single,9,778,1
157115,B,8,1,F,Single,7,356,0
175097,B,28,1,M,Married,13,357,0
196651,C,52,1,F,Single,7,328,0
195249,B,33,1,F,Married,6,301,0
127336,A,2,1,M,Married,3,770,1
137641,B,23,1,M,Married,0,689,1
165330,C,44,1,F,Married,8,151,0
192598,B,13,1,F,Single,1,696,1
146908,B,30,1,M,Married,12,237,0
180115,A,0,1,F,Married,15,310,0
177343,C,46,1,M,Single,9,411,0
117839,B,22,1,F,Single,2,629,1
149617,B,27,1,M,Married,10,393,0
126692,B,35,1,F,Married,5,572,1
111093,A,2,1,F,Married,14,282,0
135757,B,12,1,M,Single,10,455,0
117846,B,38,1,F,Single,4,478,0
155784,B,36,1,M,Single,14,193,0
164611,A,8,1,M,Married,14,410,0
121723,B,34,1,M,Single,12,509,1
133288,B,20,1,M,Single,8,424,0
190115,B,28,1,F,Single,13,344,0
127988,B,21,1,M,Married,11,182,0
132030,B,8,1,F,Married,15,161,0
101870,B,27,1,M,Married,10,356,0
140905,A,8,1,F,Married,15,329,0
198778,B,24,1,M,Married,9,325,0
126147,C,46,1,F,Single,7,455,0
160412,B,14,1,M,Single,2,762,1
103140,C,44,1,F,Single,14,290,0
149881,B,16,1,F,Single,1,459,0
144509,B,20,1,F,Married,14,259,0
168461,A,3,1,M,Single,15,587,1
168054,C,50,1,M,Married,0,159,0
146863,B,9,1,F,Single,11,148,0
120221,B,34,1,F,Married,8,309,0
129905,C,51,1,F,Single,5,255,0
134778,B,20,1,M,Single,7,517,1
197721,C,45,1,M,Single,0,105,0
136859,C,44,1,F,Married,4,40,0
190111,C,50,1,M,Married,2,302,0
130480,B,9,1,F,Married,6,311,0
196071,A,5,1,M,Married,11,336,0
173780,A,6,1,F,Married,15,198,0
148128,C,50,1,F,Married,5,82,0
134743,B,28,1,F,Single,8,408,0
100484,C,41,1,M,Single,11,36,0
134903,C,53,1,M,Single,12,320,0
195830,B,32,1,F,Single,0,590,1
113558,B,31,1,F,Single,0,526,1
167211,B,13,1,M,Single,5,939,1
115864,A,7,1,M,Married,12,554,1
162203,A,5,1,M,Single,15,311,0
167577,B,15,1,F,Single,4,878,1
142500,A,3,1,F,Single,14,157,0
159595,A,1,1,F,Single,12,520,1
168966,C,53,1,F,Single,8,103,0
133980,A,4,1,M,Married,12,547,1
124584,C,44,1,M,Single,6,330,0
122265,A,2,1,M,Married,14,655,1
141110,A,4,1,M,Married,12,480,0
117962,A,0,1,F,Married,6,517,1
171724,C,49,1,F,Single,0,72,0
139558,C,44,1,M,Single,3,131,0
105488,B,30,1,F,Single,0,648,1
168484,B,17,1,M,Married,12,341,0
189773,A,0,1,M,Married,14,512,1
153899,A,4,1,M,Married,15,252,0
129663,A,6,1,F,Married,15,188,0
101567,C,44,1,F,Single,0,154,0
163248,C,42,1,M,Married,5,94,0
148293,B,32,1,M,Married,13,208,0
184812,B,10,1,M,Married,0,397,0
105539,A,4,1,F,Married,7,296,0
173771,C,46,1,M,Married,2,76,0
137967,B,27,1,F,Married,3,449,0
102783,C,41,1,F,Married,15,131,0
184349,B,16,1,M,Married,11,147,0
190032,A,0,1,F,Single,11,640,1
112590,A,5,1,M,Married,9,420,0
137410,A,7,1,F,Married,15,396,0
186036,A,0,1,M,Married,10,478,0
176062,B,9,1,F,Married,8,293,0
100180,B,29,1,F,Married,5,528,1
110357,A,0,1,F,Married,11,247,0
145580,C,49,1,M,Married,0,169,0
104748,B,9,1,M,Single,9,440,0
146750,B,9,1,F,Married,6,290,0
192607,A,7,1,M,Single,14,682,1
146111,C,48,1,F,Married,0,162,0
143694,B,28,1,F,Single,15,238,0
148898,B,19,1,M,Single,2,726,1
141146,B,31,1,M,Single,4,729,1
166390,B,32,1,M,Single,7,445,0
180607,B,23,1,F,Single,9,427,0
179326,B,33,1,M,Married,13,265,0
185143,A,2,1,M,Married,11,317,0
136163,A,1,1,F,Married,11,356,0
154374,C,49,1,M,Single,2,639,1
199927,C,40,1,M,Married,13,152,0
199878,B,15,1,M,Married,0,599,1
188214,A,0,1,F,Married,8,382,0
101548,A,2,1,M,Married,6,340,0
166046,C,45,1,F,Married,6,97,0
138579,B,17,1,M,Married,12,168,0
127036,A,0,1,F,Single,15,622,1
121820,B,14,1,F,Married,12,197,0
169545,B,8,1,M,Single,7,490,0
169825,A,4,1,M,Married,13,308,0
144994,B,31,1,F,Single,4,581,1
139461,B,14,1,F,Married,8,325,0
163644,B,15,1,M,Married,1,547,1
129990,B,40,1,F,Single,7,379,0
131839,C,41,1,F,Married,7,123,0
181986,C,49,1,M,Married,1,402,0
154666,C,40,1,M,Married,10,39,0
182160,A,5,1,M,Married,15,605,1
177869,B,21,1,M,Single,8,352,0
110303,B,32,1,F,Single,14,323,0
169168,A,7,1,M,Married,14,180,0
185206,C,46,1,F,Married,7,300,0
152972,A,6,1,M,Married,11,584,1
113499,B,38,1,F,Single,6,484,0
195644,B,8,1,M,Married,9,425,0
103619,C,43,1,F,Married,13,41,0
130134,C,42,1,F,Single,9,127,0
114614,B,31,1,M,Married,7,332,0
188548,B,35,1,M,Married,9,382,0
135088,B,15,1,M,Married,14,202,0
151309,A,0,1,M,Married,8,449,0
196582,A,0,1,F,Married,13,479,0
155991,C,46,1,M,Married,8,207,0
146137,C,51,1,M,Single,6,48,0
109884,A,0,1,M,Married,15,333,0
135730,B,12,1,M,Single,2,801,1
190584,A,1,1,F,Married,14,182,0
147410,C,46,1,F,Married,6,208,0
159859,C,49,1,F,Married,14,45,0
161857,B,30,1,F,Single,7,390,0
177000,A,4,1,M,Married,8,456,0
120501,B,40,1,M,Single,2,780,1
161478,A,0,1,M,Single,13,853,1
118010,C,43,1,M,Married,3,298,0
191306,B,23,1,F,Single,4,517,1
101617,A,6,1,F,Single,14,227,0
165122,B,34,1,M,Married,9,396,0
150893,A,3,1,F,Single,14,238,0
171784,A,5,1,M,Married,7,624,1
192894,C,39,1,F,Single,10,188,0
184178,A,2,1,M,Married,0,544,1
117590,A,0,1,M,Single,13,326,0
103030,A,6,1,F,Married,12,183,0
139116,C,47,1,F,Single,12,156,0
133134,B,13,1,F,Single,5,503,1
127011,B,25,1,M,Single,14,263,0
105550,B,19,1,M,Married,10,324,0
137242,B,12,1,F,Married,9,312,0
103067,B,38,1,F,Single,12,206,0
128105,B,39,1,F,Single,11,368,0
183795,C,48,1,F,Married,14,166,0
172178,A,5,1,M,Married,14,452,0
180064,B,38,1,M,Married,6,355,0
110870,B,17,1,M,Married,9,375,0
196933,A,0,1,M,Single,7,842,1
156933,A,4,1,M,Single,11,566,1
157911,C,42,1,M,Married,12,342,0
163306,B,29,1,F,Single,10,407,0
161277,A,6,1,F,Single,12,559,1
117086,A,0,1,M,Married,12,547,1
158744,B,21,1,M,Single,15,170,0
195112,A,4,1,M,Married,4,1066,1
192661,A,8,1,F,Married,14,251,0
116768,B,36,1,F,Married,14,189,0
178402,A,3,1,F,Single,14,567,1
157188,A,0,1,F,Married,0,345,0
119640,B,11,1,M,Married,11,315,0
106186,A,2,1,F,Single,13,656,1
136386,B,22,1,F,Married,0,462,0
172482,B,26,1,F,Single,7,378,0
190872,A,0,1,M,Single,9,685,1
112220,A,2,1,F,Married,11,144,0
162140,B,16,1,F,Single,10,402,0
172063,C,46,1,F,Single,3,253,0
159881,B,20,1,M,Married,15,144,0
158441,A,0,1,F,Single,11,227,0
139083,A,4,1,M,Married,6,644,1
126513,A,0,1,M,Married,6,325,0
157712,A,0,1,M,Married,11,168,0
123461,A,2,1,F,Married,12,164,0
110371,B,35,1,F,Single,13,287,0
178117,B,5,1,F,Married,7,279,0
180764,A,0,1,M,Married,13,546,1
120396,B,34,1,M,Single,14,258,0
160342,B,10,1,M,Married,14,269,0
100931,A,1,1,F,Married,12,387,0
111247,B,8,1,F,Single,3,667,1
146672,B,12,1,F,Single,12,364,0
186335,B,28,1,M,Married,15,124,0
134430,A,5,1,M,Single,15,727,1
173346,A,1,1,F,Married,15,257,0
100739,C,50,1,M,Married,7,97,0
124356,A,0,1,F,Married,12,229,0
122304,C,49,1,F,Married,6,118,0
148403,C,53,1,M,Single,10,264,0
169949,B,11,1,M,Single,4,836,1
165319,C,51,1,M,Single,3,309,0
103054,B,9,1,M,Married,15,184,0
139550,C,45,1,M,Married,12,138,0
153354,A,8,1,F,Single,12,672,1
140938,B,38,1,F,Single,14,191,0
149303,A,6,1,F,Married,9,446,0
166431,B,38,1,F,Married,2,587,1
128867,A,0,1,M,Married,12,201,0
186334,A,4,1,F,Single,10,484,0
129404,B,31,1,M,Married,10,361,0
138395,A,5,1,M,Married,13,269,0
191140,B,26,1,F,Single,10,383,0
133591,B,29,1,F,Single,6,418,0
104826,C,45,1,M,Married,14,124,0
164938,A,0,1,M,Single,15,673,1
139800,B,33,1,F,Married,10,293,0
134774,B,23,1,M,Married,10,364,0
124523,A,0,1,M,Single,12,703,1
122527,A,1,1,M,Married,13,510,1
105418,C,47,1,F,Single,8,42,0
172805,A,0,1,M,Married,12,260,0
105262,B,21,1,F,Single,9,386,0
158249,B,28,1,F,Married,10,335,0
170144,B,25,1,M,Single,15,275,0
191160,A,8,1,F,Married,12,216,0
191628,B,14,1,M,Single,8,405,0
198045,B,27,1,M,Single,1,685,1
155792,B,20,1,F,Single,15,151,0
132277,A,0,1,F,Single,5,673,1
147909,B,9,1,F,Married,14,219,0
182915,B,14,1,F,Single,13,281,0
143075,C,40,1,F,Married,1,146,0
104525,B,8,1,F,Single,1,809,1
154713,A,0,1,M,Single,11,1024,1
150038,B,34,1,F,Single,9,476,0
183774,A,3,1,M,Married,13,412,0
131000,C,53,1,M,Married,0,157,0
142771,B,27,1,F,Married,15,284,0
193862,B,19,1,F,Married,1,361,0
175991,C,48,1,M,Married,7,239,0
112584,A,0,1,F,Single,12,235,0
178839,B,16,1,M,Single,9,523,1
178579,B,23,1,F,Married,7,292,0
188144,A,6,1,F,Married,9,225,0
168426,B,12,1,F,Married,0,420,0
121837,B,5,1,F,Single,6,396,0
185498,A,7,1,M,Single,14,648,1
187994,A,0,1,M,Single,12,390,0
144980,B,32,1,M,Single,13,236,0
165791,B,30,1,M,Single,15,156,0
136578,A,4,1,F,Single,10,772,1
104486,A,3,1,M,Single,12,739,1
127936,C,48,1,F,Single,3,476,0
142200,C,47,1,F,Single,6,47,0
132773,B,12,1,F,Married,8,309,0
174649,A,7,1,F,Single,8,615,1
107218,B,18,1,M,Married,11,281,0
110966,A,0,1,F,Single,0,659,1
134067,B,22,1,F,Married,8,313,0
198001,B,24,1,F,Married,7,338,0
112751,B,22,1,F,Single,14,272,0
110330,A,0,1,M,Married,14,443,0
152850,B,20,1,F,Married,14,136,0
137449,B,9,1,M,Married,2,669,1
146254,C,45,1,M,Married,9,37,0
177554,A,4,1,M,Married,14,695,1
161868,C,45,1,F,Married,1,318,0
157353,C,47,1,M,Single,8,230,0
127572,A,7,1,M,Single,9,984,1
110946,B,11,1,M,Single,0,676,1
179609,C,47,1,F,Single,11,111,0
108007,A,5,1,F,Single,14,447,0
139453,C,51,1,M,Single,4,229,0
165686,A,5,1,F,Married,14,442,0
108319,A,1,1,F,Single,10,698,1
144855,C,48,1,M,Single,7,236,0
163531,A,2,1,F,Married,15,294,0
150077,C,51,1,M,Married,2,345,0
191011,B,21,1,F,Single,0,837,1
191637,B,25,1,F,Single,11,340,0
118853,C,44,1,F,Single,9,292,0
190042,B,25,1,M,Married,7,399,0
113232,A,0,1,M,Single,13,810,1
129426,B,38,1,M,Married,6,356,0
161923,B,17,1,F,Single,11,376,0
143315,C,52,1,M,Married,15,163,0
112537,A,5,1,F,Married,7,391,0
189651,B,7,1,F,Married,6,284,0
175053,B,7,1,M,Married,9,346,0
149333,B,15,1,F,Single,10,402,0
106020,A,7,1,M,Married,1,777,1
172144,B,35,1,M,Married,1,645,1
181343,A,6,1,F,Single,13,386,0
165969,B,33,1,M,Married,9,321,0
175204,B,35,1,M,Single,7,436,0
188905,B,11,1,F,Married,9,303,0
174333,B,32,1,F,Married,4,557,1
167470,A,0,1,F,Single,4,1037,1
120965,A,1,1,F,Single,12,302,0
177195,C,52,1,M,Single,15,117,0
140290,A,0,1,M,Single,13,964,1
117642,C,42,1,M,Single,13,96,0
104411,B,11,1,F,Married,5,419,0
182169,C,43,1,F,Single,1,342,0
154432,C,42,1,F,Married,13,102,0
106539,C,46,1,F,Single,15,41,0
195625,B,35,1,F,Married,8,307,0
196635,B,27,1,F,Single,0,687,1
193413,C,50,1,M,Single,10,167,0
191094,C,47,1,M,Married,4,551,1
179271,A,5,1,M,Single,14,587,1
189951,B,6,1,F,Married,12,339,0
126236,B,20,1,M,Married,0,648,1
130761,C,50,1,M,Married,14,95,0
170986,A,2,1,M,Single,13,494,0
157919,A,2,1,M,Single,7,1021,1
127745,A,1,1,M,Married,9,471,0
191285,B,15,1,F,Single,6,403,0
123166,B,33,1,M,Single,10,422,0
155724,A,6,1,F,Married,14,127,0
177504,A,0,1,M,Married,4,1204,1
136090,C,39,1,M,Married,11,276,0
196704,B,26,1,F,Married,0,518,1
164592,C,47,1,F,Single,9,43,0
145321,A,2,1,M,Single,13,931,1
104756,A,3,1,M,Single,11,946,1
103377,B,25,1,F,Single,7,364,0
139687,B,15,1,F,Single,6,420,0
165487,C,49,1,F,Single,9,79,0
126149,A,4,1,F,Single,12,421,0
133180,C,46,1,M,Married,4,390,0
186820,B,26,1,M,Single,8,462,0
185310,B,30,1,M,Married,15,147,0
117930,A,0,1,M,Single,10,1032,1
133784,B,22,1,F,Married,10,373,0
108804,A,4,1,M,Single,12,874,1
109203,A,7,1,M,Single,0,1492,1
148258,C,52,1,F,Single,7,140,0
108325,C,41,1,M,Married,9,159,0
109970,A,3,1,M,Single,14,731,1
189460,A,4,1,F,Single,15,470,0
146438,C,48,1,M,Single,6,234,0
129176,B,17,1,F,Single,1,545,1
140722,C,41,1,F,Married,8,286,0
114230,B,10,1,F,Married,11,269,0
105121,B,28,1,M,Married,10,359,0
115299,C,44,1,M,Married,14,32,0
116313,B,17,1,F,Single,6,425,0
111655,A,4,1,F,Single,11,222,0
107539,B,16,1,F,Single,12,230,0
102106,C,44,1,M,Single,8,184,0
131977,C,42,1,M,Single,12,496,0
174776,C,43,1,F,Married,6,58,0
115117,B,30,1,F,Single,8,421,0
170043,B,15,1,F,Married,7,368,0
137679,B,23,1,M,Married,9,404,0
167670,C,45,1,M,Married,12,102,0
191667,C,52,1,F,Single,3,321,0
118085,B,33,1,M,Married,15,204,0
152351,A,6,1,F,Married,5,482,0
191927,A,0,1,M,Married,6,333,0
102450,A,2,1,F,Single,11,293,0
154817,C,50,1,M,Single,8,219,0
113307,B,9,1,F,Single,7,430,0
174930,A,0,1,M,Single,15,960,1
135471,B,36,1,F,Single,2,862,1
124520,A,5,1,F,Single,11,523,1
126999,B,32,1,F,Married,7,302,0
147581,C,42,1,F,Single,8,241,0
127409,C,52,1,M,Single,9,152,0
108545,B,8,1,M,Single,8,436,0
156939,B,22,1,F,Married,1,381,0
158928,C,47,1,M,Single,3,74,0
170024,B,33,1,M,Married,11,159,0
127337,B,8,1,F,Single,2,603,1
172679,A,6,1,F,Married,1,497,0
100393,B,41,1,F,Single,7,392,0
138394,A,2,1,F,Single,15,244,0
143776,A,0,1,F,Married,14,273,0
111978,C,44,1,M,Single,4,317,0
156872,B,21,1,F,Married,15,186,0
145921,C,48,1,F,Single,4,106,0
159310,C,47,1,M,Single,7,237,0
143703,C,42,1,F,Single,9,34,0
142662,B,37,1,M,Married,10,346,0
139500,A,3,1,M,Single,7,1360,1
199067,C,48,1,F,Married,14,148,0
184418,B,34,1,F,Married,4,477,0
129661,B,13,1,M,Married,13,307,0
150868,A,8,1,F,Single,12,602,1
111483,C,41,1,F,Single,5,464,0
179318,B,41,1,F,Married,12,118,0
197615,C,45,1,F,Married,14,27,0
125364,A,1,1,M,Married,6,512,1
103001,C,52,1,F,Married,12,109,0
122543,A,3,1,M,Single,14,651,1
137055,B,39,1,M,Single,1,531,1
107360,C,48,1,F,Married,13,189,0
148198,A,6,1,M,Single,11,558,1
134164,A,4,1,M,Single,13,335,0
128866,C,45,1,F,Single,11,37,0
146036,B,10,1,F,Single,6,363,0
180309,B,30,1,F,Married,0,540,1
158991,A,0,1,M,Married,12,358,0
157357,B,25,1,M,Single,13,331,0
184611,B,7,1,M,Married,8,335,0
185622,C,44,1,M,Single,0,262,0
195602,B,15,1,M,Single,1,735,1
117004,C,46,1,M,Married,1,406,0
145524,C,44,1,M,Single,9,352,0
174530,C,50,1,M,Single,10,297,0
158963,C,43,1,F,Single,6,125,0
169392,B,11,1,F,Married,7,375,0
136257,A,5,1,F,Single,11,534,1
155439,B,29,1,F,Single,10,358,0
191625,A,1,1,F,Single,13,236,0
130894,B,8,1,M,Single,6,481,0
176085,A,1,1,M,Single,1,1570,1
163579,C,52,1,M,Married,8,190,0
165231,A,6,1,M,Single,14,802,1
175849,B,24,1,M,Single,10,476,0
166862,A,7,1,F,Single,5,865,1
145985,C,49,1,F,Married,7,33,0
161523,A,0,1,F,Married,13,259,0
188537,A,2,1,F,Single,12,476,0
148910,B,34,1,F,Married,9,289,0
114902,B,29,1,F,Married,10,342,0
150766,B,25,1,F,Married,4,440,0
110593,C,48,1,M,Single,6,330,0
179759,A,0,1,M,Single,13,845,1
121258,B,42,1,F,Single,1,474,0
116173,B,32,1,M,Single,7,397,0
157449,A,4,1,M,Married,9,771,1
199294,B,35,1,M,Married,8,346,0
107896,C,47,1,M,Single,15,45,0
196818,B,30,1,M,Married,10,308,0
108840,C,43,1,M,Married,3,118,0
195376,B,34,1,M,Married,9,417,0
122051,C,43,1,F,Single,12,25,0
173821,A,3,1,F,Single,9,716,1
187100,B,35,1,M,Single,1,679,1
143345,C,46,1,F,Single,15,233,0
160012,B,11,1,M,Single,10,483,0
136159,B,36,1,M,Married,12,193,0
170878,A,1,1,F,Married,12,179,0
195494,C,50,1,F,Married,3,407,0
107555,A,1,1,M,Married,15,395,0
110367,C,50,1,M,Single,7,399,0
111541,A,3,1,M,Married,13,171,0
168352,A,7,1,M,Single,12,1265,1
134503,A,1,1,F,Single,14,554,1
144971,C,43,1,F,Married,11,88,0
181186,A,0,1,F,Married,15,300,0
